collateral_id,loan_id,collateral_type,collateral_value,valuation_date
7001003,502026,Real Estate,10118.43,2023-10-31
7001004,501485,Vehicle,150829.65,2024-11-22
7001005,501547,Vehicle,59299.7,2025-05-18
7001006,502063,Real Estate,487325.13,2023-02-13
7001007,504878,Equipment,111959.91,2023-08-20
7001008,502660,Commercial Property,143603.04,2024-09-06
7001009,503277,Real Estate,41973.69,2023-09-08
7001010,504427,Real Estate,43230.02,2023-02-28
7001011,500955,Commercial Property,13248.5,2025-05-09
7001012,504710,Equipment,50506.12,2025-04-21
7001013,503881,Commercial Property,183473.78,2026-07-28
7001014,504026,Equipment,173121.68,2025-10-26
7001015,504792,Other,23007.8,2023-03-07
7001016,500036,Real Estate,53171.19,2023-09-17
7001017,502656,Real Estate,38336.44,2024-02-23
7001018,504654,Vehicle,23117.38,2023-10-03
7001019,504027,Real Estate,58946.29,2025-08-23
7001020,504866,Vehicle,17195.74,2026-02-10
7001021,500093,Vehicle,19348.53,2023-07-31
7001022,503638,Real Estate,22857.52,2025-03-07
7001023,500118,Vehicle,74946.43,2023-02-01
7001024,504346,Vehicle,167979.83,2024-05-03
7001025,504469,Commercial Property,41124.8,2025-08-09
7001026,500896,Commercial Property,553878.19,2023-03-30
7001027,503375,Equipment,10531.76,2025-07-21
7001028,500659,Vehicle,21912.06,2025-06-21
7001029,504588,Real Estate,206286.42,2026-01-24
7001030,504970,Equipment,18138.55,2023-09-20
7001031,501010,Real Estate,48097.74,2026-05-28
7001032,504935,Commercial Property,25534.31,2024-01-29
7001033,504495,Real Estate,387920.75,2024-05-14
7001034,501033,Real Estate,186470.42,2025-03-08
7001035,504734,Equipment,33546.63,2024-03-09
7001036,502084,Real Estate,56933.43,2023-04-06
7001037,501072,Vehicle,144683.63,2023-12-07
7001038,500755,Real Estate,53813.68,2024-12-24
7001039,502506,Vehicle,114216.94,2024-09-21
7001040,504148,Real Estate,152733.94,2026-02-15
7001041,503162,Real Estate,40774.73,2023-10-23
7001042,502809,Real Estate,343652.03,2024-08-04
7001043,503304,Equipment,9144.18,2026-07-18
7001044,502220,Real Estate,192179.15,2026-02-09
7001045,500239,Real Estate,383252.86,2024-08-11
7001046,500148,Equipment,3066.63,2024-05-31
7001047,500550,Vehicle,15431.93,2025-06-14
7001048,501791,Other,30070.19,2023-12-30
7001049,504070,Real Estate,77685.98,2026-04-28
7001050,504166,Equipment,11753.46,2024-05-03
7001051,502275,Vehicle,212949.75,2025-11-16
7001052,504126,Vehicle,16025.17,2025-09-10
7001053,501421,Real Estate,25931.65,2024-05-26
7001054,502231,Real Estate,614010.48,2026-05-08
7001055,501704,Equipment,56643.5,2026-05-18
7001056,500625,Vehicle,12755.38,2023-12-01
7001057,502375,Equipment,279745.48,2026-03-15
7001058,501108,Real Estate,627982.98,2025-03-10
7001059,503755,Equipment,220823.68,2026-06-08
7001060,501996,Real Estate,51031.28,2025-07-01
7001061,503250,Commercial Property,110703.94,2024-02-16
7001062,504966,Real Estate,27932.76,2026-02-08
7001063,504720,Equipment,216319.93,2026-08-07
7001064,500426,Vehicle,8803.89,2023-05-26
7001065,504377,Real Estate,301563.12,2023-11-25
7001066,501759,Other,11904.15,2025-01-07
7001067,502207,Equipment,125811.56,2024-04-26
7001068,503114,Equipment,34908.5,2026-08-28
7001069,502025,Real Estate,23297.92,2024-10-09
7001070,502688,Vehicle,20948.53,2023-07-09
7001071,501422,Commercial Property,19956.6,2025-03-25
7001072,502259,Equipment,184947.88,2025-09-08
7001073,504398,Commercial Property,55590.47,2024-07-04
7001074,504564,Equipment,227699.02,2024-04-09
7001075,500388,Real Estate,591720.67,2023-11-29
7001076,501755,Real Estate,53776.33,2024-06-20
7001077,503642,Vehicle,27011.01,2024-02-20
7001078,500192,Commercial Property,32171.63,2024-02-02
7001079,502800,Equipment,8189.37,2026-05-26
7001080,502966,Real Estate,50847.72,2023-05-16
7001081,502512,Real Estate,151538.13,2024-06-05
7001082,500983,Equipment,89808.22,2025-08-25
7001083,502389,Real Estate,16361.85,2024-04-07
7001084,502014,Real Estate,73400.86,2024-11-10
7001085,502215,Real Estate,129716.17,2025-08-14
7001086,503747,Commercial Property,86006.7,2023-07-18
7001087,503863,Other,132608.29,2025-03-31
7001088,503939,Equipment,69317.88,2024-03-24
7001089,504055,Equipment,191137.14,2024-11-04
7001090,504378,Real Estate,31837.45,2024-02-18
7001091,501997,Other,13670.75,2023-06-12
7001092,502447,Real Estate,184014.12,2023-05-12
7001093,503467,Real Estate,365025.82,2025-06-04
7001094,502531,Equipment,228138.53,2024-01-24
7001095,503694,Vehicle,89548.22,2025-01-25
7001096,503064,Real Estate,230747.29,2024-03-31
7001097,500623,Vehicle,399780.36,2025-09-03
7001098,502296,Real Estate,2698.43,2025-12-23
7001099,500669,Equipment,99145.92,2025-11-16
7001100,500872,Real Estate,60305.78,2024-04-01
7001101,502705,Vehicle,54543.77,2026-05-06
7001102,503203,Equipment,13823.19,2025-08-29
7001103,504622,Vehicle,8774.37,2023-01-17
7001104,501881,Other,499792.03,2026-06-29
7001105,502300,Real Estate,16766.77,2024-05-22
7001106,501841,Commercial Property,183362.96,2024-07-29
7001107,502754,Equipment,80753.25,2025-07-17
7001108,503363,Real Estate,12389.29,2024-07-17
7001109,501186,Commercial Property,244571.69,2024-03-16
7001110,504658,Commercial Property,97108.11,2023-12-07
7001111,503503,Real Estate,41369.91,2024-07-09
7001112,504943,Equipment,25300.07,2026-02-06
7001113,503836,Commercial Property,331166.52,2024-03-25
7001114,503168,Equipment,26086.29,2026-06-18
7001115,504895,Commercial Property,35841.54,2024-09-24
7001116,501947,Equipment,95260.61,2024-10-03
7001117,500824,Equipment,21139.94,2026-02-02
7001118,501887,Real Estate,9091.3,2024-01-26
7001119,501388,Vehicle,63762.84,2025-02-19
7001120,503068,Other,176488.84,2026-02-05
7001121,501990,Equipment,41347.46,2023-06-09
7001122,502774,Commercial Property,274319.04,2023-10-04
7001123,503763,Real Estate,330842.53,2024-09-23
7001124,502082,Real Estate,51267.58,2025-08-14
7001125,500311,Equipment,164009.55,2025-10-06
7001126,502336,Real Estate,18027.51,2024-12-10
7001127,502384,Real Estate,18235.47,2026-08-21
7001128,502872,Equipment,5945.4,2023-10-11
7001129,503743,Vehicle,19853.7,2026-04-28
7001130,503012,Real Estate,21525.24,2024-04-20
7001131,504044,Commercial Property,258761.72,2026-01-21
7001132,500629,Vehicle,25828.77,2024-04-23
7001133,504517,Real Estate,27239.78,2025-05-03
7001134,500628,Vehicle,8388.82,2024-01-10
7001135,500117,Vehicle,40778.89,2025-05-17
7001136,503255,Real Estate,54781.45,2024-09-13
7001137,502312,Real Estate,24611.89,2025-02-06
7001138,503978,Vehicle,18292.15,2023-08-03
7001139,500265,Real Estate,122684.84,2025-09-07
7001140,504297,Equipment,29931.64,2023-01-06
7001141,503227,Vehicle,19400.21,2023-07-06
7001142,504967,Real Estate,40045.16,2023-09-01
7001143,504294,Vehicle,23066.45,2025-10-11
7001144,502452,Real Estate,451338.82,2024-05-12
7001145,502750,Vehicle,85350.31,2023-12-25
7001146,502327,Equipment,10664.09,2024-04-30
7001147,502501,Commercial Property,32258.42,2023-08-31
7001148,502853,Vehicle,39309.54,2023-11-28
7001149,501118,Vehicle,23161.93,2023-12-30
7001150,504527,Equipment,3987.98,2025-04-02
7001151,504304,Other,136118.86,2024-01-16
7001152,504019,Commercial Property,13506.74,2025-04-10
7001153,500140,Real Estate,86204.89,2023-05-12
7001154,501028,Real Estate,34922.49,2026-07-09
7001155,501617,Real Estate,162512.63,2023-08-06
7001156,500959,Vehicle,52992.22,2023-01-13
7001157,502943,Equipment,407956.28,2023-02-10
7001158,500347,Equipment,40260.67,2024-02-10
7001159,504543,Equipment,115144.52,2024-11-13
7001160,500850,Real Estate,37466.11,2024-08-20
7001161,501995,Real Estate,396137.69,2023-03-04
7001162,502217,Real Estate,23958.31,2024-02-08
7001163,500736,Vehicle,49791.06,2023-07-16
7001164,504284,Real Estate,197626.38,2025-11-21
7001165,503347,Vehicle,94376.11,2026-05-30
7001166,500493,Real Estate,230008.87,2023-12-19
7001167,502669,Real Estate,13573.37,2026-05-13
7001168,503342,Real Estate,74202.03,2023-05-18
7001169,501019,Vehicle,13491.87,2023-01-10
7001170,501346,Commercial Property,12817.79,2025-11-24
7001171,500821,Equipment,26144.97,2023-06-18
7001172,500474,Other,2847.65,2023-03-27
7001173,500624,Real Estate,4755.46,2024-11-02
7001174,501861,Vehicle,9581.34,2023-01-22
7001175,501613,Equipment,4817.27,2025-10-29
7001176,501960,Real Estate,898972.63,2026-07-31
7001177,500632,Vehicle,14603.61,2026-04-16
7001178,501305,Equipment,5034.65,2026-07-22
7001179,500993,Commercial Property,16397.61,2025-05-27
7001180,504505,Real Estate,145768.06,2023-07-27
7001181,504299,Real Estate,17193.22,2023-09-06
7001182,503010,Equipment,87959.64,2023-08-27
7001183,501902,Real Estate,396008.8,2023-08-07
7001184,503682,Vehicle,380400.19,2024-05-22
7001185,503356,Real Estate,88269.22,2024-12-23
7001186,504526,Real Estate,27490.96,2025-06-25
7001187,500183,Vehicle,231582.9,2023-05-15
7001188,503975,Vehicle,6062.94,2024-06-13
7001189,503442,Vehicle,530812.45,2023-08-15
7001190,501117,Real Estate,163905.09,2026-04-25
7001191,501811,Real Estate,40620.89,2025-02-05
7001192,502550,Vehicle,331024.68,2023-10-13
7001193,503400,Real Estate,18439.3,2025-01-31
7001194,501242,Vehicle,144158.46,2024-04-02
7001195,504566,Real Estate,122978.99,2025-05-15
7001196,503075,Real Estate,6961.11,2026-01-22
7001197,502973,Commercial Property,269297.17,2026-02-26
7001198,504138,Real Estate,37147.98,2024-05-30
7001199,502753,Vehicle,239995.98,2024-08-29
7001200,501520,Vehicle,92308.78,2023-10-15
7001201,504094,Equipment,35867.48,2024-06-21
7001202,504819,Real Estate,160782.96,2026-02-15
7001203,501120,Equipment,185844.34,2023-06-24
7001204,501583,Vehicle,3214.5,2024-03-14
7001205,500922,Real Estate,147831.88,2024-07-30
7001206,502776,Equipment,281464.67,2023-08-07
7001207,502351,Real Estate,821319.96,2026-07-30
7001208,501593,Real Estate,23105.11,2025-05-25
7001209,501501,Real Estate,69953.93,2026-03-02
7001210,501852,Commercial Property,104708.21,2024-01-20
7001211,502797,Vehicle,241481.19,2023-11-24
7001212,503143,Equipment,15564.51,2024-02-23
7001213,500753,Vehicle,38013.94,2023-06-10
7001214,502714,Equipment,14158.74,2023-03-27
7001215,501736,Vehicle,18726.84,2025-10-26
7001216,501532,Real Estate,58833.91,2024-09-07
7001217,503282,Equipment,62628.36,2025-06-14
7001218,502163,Commercial Property,282251.83,2025-08-08
7001219,500554,Equipment,504637.11,2025-07-13
7001220,504938,Vehicle,145783.53,2024-08-23
7001221,504596,Real Estate,305387.76,2026-06-18
7001222,502292,Equipment,204802.11,2024-01-17
7001223,504367,Real Estate,17454.27,2024-04-12
7001224,501338,Real Estate,13488.31,2025-05-29
7001225,503566,Vehicle,105633.68,2024-08-28
7001226,501087,Real Estate,14975.33,2026-05-01
7001227,503240,Vehicle,92338.52,2024-03-07
7001228,500407,Vehicle,531783.36,2024-08-17
7001229,500327,Equipment,66123.16,2024-12-07
7001230,501696,Real Estate,45033.21,2023-06-21
7001231,502179,Real Estate,33217.97,2024-08-01
7001232,500157,Equipment,466013.95,2024-04-11
7001233,502607,Other,94360.54,2024-08-25
7001234,501365,Real Estate,245584.96,2026-07-23
7001235,503083,Real Estate,68889.57,2023-04-11
7001236,503888,Equipment,57935.19,2023-03-19
7001237,503844,Real Estate,248946.42,2025-02-26
7001238,500739,Vehicle,18893.23,2023-04-30
7001239,502940,Real Estate,6175.85,2026-02-05
7001240,501381,Vehicle,5396.05,2024-03-24
7001241,504850,Vehicle,6727.0,2025-03-01
7001242,504823,Real Estate,163393.61,2023-10-24
7001243,503854,Real Estate,38422.23,2024-05-16
7001244,502367,Real Estate,134258.95,2024-01-03
7001245,502921,Other,58232.21,2025-03-02
7001246,501423,Equipment,52251.13,2024-09-05
7001247,501006,Equipment,24935.81,2024-01-24
7001248,501917,Vehicle,149222.78,2026-01-05
7001249,501870,Real Estate,80013.24,2023-06-10
7001250,500187,Real Estate,126014.75,2025-04-03
7001251,504233,Real Estate,30069.77,2024-04-12
7001252,504652,Equipment,136254.23,2023-05-06
7001253,500143,Vehicle,74359.63,2025-12-11
7001254,500767,Equipment,15732.64,2025-10-18
7001255,501477,Equipment,7066.22,2026-08-17
7001256,500633,Real Estate,56133.46,2023-02-08
7001257,504360,Real Estate,587142.81,2023-08-09
7001258,503478,Vehicle,13105.19,2026-04-22
7001259,501718,Commercial Property,55064.95,2023-06-24
7001260,504567,Real Estate,28703.2,2025-07-18
7001261,504386,Real Estate,25853.79,2026-05-22
7001262,504003,Real Estate,24426.51,2025-08-21
7001263,503253,Other,194893.01,2023-08-21
7001264,500384,Vehicle,61953.44,2024-04-23
7001265,500030,Real Estate,93075.77,2025-04-29
7001266,503080,Vehicle,116537.54,2024-06-19
7001267,502784,Real Estate,14709.81,2025-10-09
7001268,502884,Equipment,12470.14,2024-04-03
7001269,502204,Vehicle,75254.08,2025-10-08
7001270,501321,Real Estate,181479.75,2026-06-23
7001271,501171,Equipment,37523.77,2025-09-29
7001272,501364,Real Estate,21235.83,2023-09-22
7001273,504338,Commercial Property,48181.75,2023-04-16
7001274,500297,Other,36870.21,2024-12-10
7001275,504514,Vehicle,7509.79,2026-03-03
7001276,501988,Real Estate,59655.92,2023-11-17
7001277,503427,Real Estate,46003.8,2024-05-09
7001278,500259,Real Estate,37407.51,2024-04-07
7001279,501334,Equipment,171820.87,2024-03-30
7001280,504793,Real Estate,625418.89,2024-10-09
7001281,504430,Commercial Property,25990.25,2023-05-09
7001282,501628,Vehicle,84217.32,2025-08-23
7001283,500728,Other,142495.96,2023-05-07
7001284,503164,Vehicle,13422.79,2026-01-06
7001285,502289,Real Estate,150303.18,2024-08-13
7001286,500885,Vehicle,32549.25,2026-04-16
7001287,504630,Equipment,342726.84,2023-03-14
7001288,503039,Commercial Property,82395.96,2024-04-04
7001289,502513,Other,145250.87,2025-08-24
7001290,503664,Equipment,286480.91,2023-08-14
7001291,504867,Vehicle,16504.12,2025-11-14
7001292,502069,Real Estate,197338.77,2023-04-14
7001293,502252,Real Estate,95272.63,2026-02-20
7001294,502587,Vehicle,614950.67,2025-01-26
7001295,503521,Real Estate,90673.42,2026-04-14
7001296,503921,Vehicle,9161.03,2025-12-25
7001297,502158,Commercial Property,640457.73,2026-03-29
7001298,501562,Equipment,10737.63,2026-07-02
7001299,503718,Vehicle,7821.47,2024-11-19
7001300,502049,Other,43410.24,2024-09-01
7001301,503369,Other,32442.67,2025-12-18
7001302,500052,Real Estate,122978.04,2026-08-21
7001303,503529,Vehicle,11438.93,2025-12-17
7001304,502078,Real Estate,19898.09,2025-10-09
7001305,503719,Real Estate,10862.53,2023-04-12
7001306,500114,Equipment,134150.81,2026-07-25
7001307,504855,Real Estate,25310.98,2025-05-29
7001308,502186,Vehicle,182614.85,2025-06-04
7001309,503290,Vehicle,24230.6,2023-07-29
7001310,501662,Vehicle,3697.28,2023-11-07
7001311,502732,Other,7819.37,2025-12-31
7001312,501745,Equipment,99831.58,2024-05-25
7001313,502819,Other,45733.7,2023-04-30
7001314,500028,Real Estate,89926.33,2025-06-29
7001315,502055,Other,131726.69,2024-03-29
7001316,500284,Equipment,17763.01,2024-11-12
7001317,504772,Equipment,46896.16,2026-08-06
7001318,503971,Other,17113.02,2024-07-24
7001319,503037,Vehicle,10986.82,2026-06-30
7001320,502881,Real Estate,8875.26,2025-03-30
7001321,504008,Real Estate,46726.02,2025-06-29
7001322,502560,Real Estate,408952.78,2023-10-21
7001323,503704,Equipment,423944.22,2024-04-01
7001324,500216,Real Estate,687290.21,2024-09-12
7001325,503409,Equipment,7174.68,2023-08-26
7001326,502070,Real Estate,22472.79,2026-08-06
7001327,500612,Other,8132.06,2024-08-01
7001328,502522,Equipment,129362.14,2023-11-11
7001329,500965,Vehicle,80326.65,2024-09-09
7001330,503284,Vehicle,188439.46,2025-05-03
7001331,504028,Commercial Property,142114.41,2025-09-04
7001332,503323,Equipment,7228.59,2024-08-11
7001333,500258,Commercial Property,740733.68,2023-09-04
7001334,504820,Equipment,2507.83,2026-05-09
7001335,501158,Commercial Property,22833.06,2023-07-24
7001336,503449,Real Estate,3898.92,2024-01-10
7001337,502321,Vehicle,368954.57,2025-12-18
7001338,503676,Other,121651.35,2026-01-21
7001339,501478,Real Estate,18044.17,2023-03-18
7001340,502647,Other,151124.14,2025-06-11
7001341,504869,Vehicle,608340.68,2026-01-09
7001342,503579,Vehicle,28472.06,2024-10-28
7001343,503056,Real Estate,27474.96,2025-11-30
7001344,503152,Commercial Property,156598.52,2024-07-07
7001345,500543,Commercial Property,496949.1,2024-03-07
7001346,501269,Real Estate,22422.87,2025-02-15
7001347,504934,Real Estate,51184.05,2026-03-03
7001348,503953,Real Estate,294062.94,2026-04-01
7001349,502222,Vehicle,61079.88,2024-10-21
7001350,504623,Real Estate,285194.18,2024-08-25
7001351,501241,Other,4107.87,2025-07-10
7001352,500508,Commercial Property,410048.42,2026-08-19
7001353,503295,Real Estate,254960.76,2023-08-07
7001354,500976,Real Estate,5724.8,2023-02-20
7001355,501467,Real Estate,21997.86,2025-03-18
7001356,502464,Vehicle,233492.57,2026-01-26
7001357,503970,Equipment,48438.3,2023-03-30
7001358,501523,Vehicle,278978.74,2023-09-09
7001359,503887,Equipment,218431.21,2023-10-22
7001360,503684,Commercial Property,16073.55,2025-04-17
7001361,501420,Real Estate,243672.71,2023-02-18
7001362,500808,Other,136975.93,2025-03-18
7001363,502930,Equipment,17327.12,2023-11-22
7001364,504538,Equipment,51640.15,2023-04-04
7001365,503070,Vehicle,10422.05,2025-11-07
7001366,501943,Equipment,362945.69,2025-10-18
7001367,500016,Commercial Property,58844.09,2025-06-05
7001368,502472,Real Estate,43364.15,2024-11-25
7001369,500804,Commercial Property,13532.86,2025-03-15
7001370,501193,Other,191059.66,2023-10-09
7001371,503471,Vehicle,24993.21,2025-12-13
7001372,503322,Real Estate,34288.31,2023-10-15
7001373,501018,Equipment,97067.96,2023-01-27
7001374,500433,Real Estate,348481.33,2023-06-21
7001375,502050,Vehicle,93982.38,2024-10-19
7001376,500355,Equipment,308188.28,2023-11-02
7001377,502786,Other,13438.45,2023-01-13
7001378,502062,Equipment,132700.07,2025-10-25
7001379,503968,Equipment,315563.79,2024-01-18
7001380,500457,Real Estate,14679.62,2024-09-02
7001381,500173,Vehicle,408400.39,2023-06-27
7001382,501560,Vehicle,185943.96,2024-03-02
7001383,502752,Other,183842.43,2024-06-22
7001384,502551,Vehicle,250217.27,2024-07-31
7001385,500040,Equipment,464231.78,2025-12-25
7001386,501572,Equipment,337355.62,2026-02-19
7001387,501020,Real Estate,14918.2,2026-05-11
7001388,501278,Equipment,94675.14,2026-08-28
7001389,500789,Vehicle,68292.07,2025-12-17
7001390,504395,Vehicle,38943.1,2025-09-24
7001391,501429,Equipment,24863.01,2025-07-23
7001392,503078,Commercial Property,631296.2,2024-05-01
7001393,500455,Vehicle,12211.07,2026-05-08
7001394,502471,Real Estate,314918.93,2025-08-24
7001395,502229,Vehicle,89073.77,2025-06-30
7001396,500674,Other,56419.25,2023-12-24
7001397,504167,Other,16635.76,2023-06-16
7001398,503683,Real Estate,20177.93,2026-06-14
7001399,504655,Vehicle,23241.8,2025-05-22
7001400,500956,Real Estate,32542.72,2025-12-11
7001401,502311,Real Estate,89791.15,2026-05-01
7001402,502235,Commercial Property,330660.49,2025-06-23
7001403,502176,Real Estate,53972.66,2023-09-09
7001404,500484,Vehicle,108894.43,2023-12-04
7001405,504243,Commercial Property,297755.97,2025-11-06
7001406,503115,Real Estate,15851.89,2023-01-15
7001407,503690,Vehicle,190918.31,2025-01-10
7001408,503469,Real Estate,31928.11,2023-01-31
7001409,503717,Vehicle,13339.43,2026-07-02
7001410,503031,Vehicle,11990.15,2024-11-11
7001411,504907,Commercial Property,862211.58,2023-06-18
7001412,501287,Other,229524.9,2024-04-08
7001413,503662,Real Estate,18330.92,2023-11-10
7001414,503285,Real Estate,6176.9,2025-07-06
7001415,501428,Equipment,53779.95,2026-03-25
7001416,503871,Equipment,205451.66,2023-03-30
7001417,502521,Equipment,151732.67,2025-07-28
7001418,500969,Equipment,23217.12,2023-07-10
7001419,501277,Real Estate,23885.81,2023-06-14
7001420,500245,Vehicle,112175.54,2025-01-19
7001421,504502,Equipment,5306.37,2024-05-23
7001422,503808,Equipment,307168.96,2023-04-24
7001423,503637,Vehicle,236754.68,2026-07-28
7001424,503238,Real Estate,141588.08,2025-11-21
7001425,502959,Vehicle,26376.01,2024-02-02
7001426,501495,Real Estate,868087.7,2025-08-01
7001427,504703,Vehicle,15876.36,2025-12-08
7001428,503136,Vehicle,22971.56,2025-04-18
7001429,501983,Commercial Property,128065.15,2024-07-10
7001430,502283,Other,146220.09,2023-04-20
7001431,503389,Vehicle,17202.31,2023-08-01
7001432,504468,Real Estate,436298.24,2026-04-09
7001433,500615,Vehicle,30046.76,2023-08-25
7001434,502422,Equipment,66933.27,2025-06-24
7001435,501114,Real Estate,31465.19,2025-06-24
7001436,503021,Other,7519.16,2025-03-12
7001437,501632,Vehicle,183533.57,2026-06-26
7001438,504621,Real Estate,848676.38,2024-09-01
7001439,504883,Real Estate,8361.69,2024-01-06
7001440,503236,Real Estate,21247.59,2025-09-26
7001441,501319,Vehicle,87909.48,2023-12-19
7001442,503700,Other,51353.67,2023-12-11
7001443,500846,Vehicle,279839.78,2024-09-27
7001444,500831,Other,123880.92,2025-03-06
7001445,504633,Real Estate,464101.75,2025-12-19
7001446,503733,Equipment,65527.18,2025-01-31
7001447,502262,Equipment,28886.31,2026-03-29
7001448,502828,Vehicle,377858.38,2026-07-07
7001449,501898,Real Estate,38945.65,2024-01-16
7001450,500136,Real Estate,49680.97,2026-05-04
7001451,500634,Vehicle,61674.66,2025-05-17
7001452,502178,Real Estate,24133.48,2024-10-31
7001453,501437,Real Estate,160261.16,2025-09-03
7001454,504666,Real Estate,9968.43,2026-02-24
7001455,502993,Real Estate,25184.26,2023-12-06
7001456,503117,Real Estate,367890.58,2025-10-02
7001457,500894,Commercial Property,316714.04,2023-05-17
7001458,504653,Real Estate,2089.96,2025-03-05
7001459,502684,Equipment,352172.88,2023-03-28
7001460,504183,Vehicle,15350.6,2025-05-20
7001461,504168,Vehicle,41609.56,2023-10-01
7001462,504017,Vehicle,20248.21,2025-10-29
7001463,500334,Real Estate,126232.17,2023-05-25
7001464,504236,Equipment,38205.29,2024-10-03
7001465,503128,Real Estate,7260.73,2026-07-20
7001466,504802,Vehicle,58802.19,2025-09-13
7001467,503008,Real Estate,517654.77,2026-02-24
7001468,502579,Real Estate,5587.11,2025-04-13
7001469,501194,Real Estate,42279.84,2025-10-02
7001470,503740,Other,51827.9,2024-12-04
7001471,504612,Equipment,163991.33,2024-08-24
7001472,503500,Real Estate,18144.71,2025-03-29
7001473,503930,Real Estate,2895.29,2023-11-10
7001474,502967,Other,438964.32,2025-10-02
7001475,502326,Equipment,37478.53,2023-08-31
7001476,501234,Other,92037.69,2024-03-19
7001477,504712,Commercial Property,8404.36,2023-11-15
7001478,500056,Equipment,82894.98,2024-01-28
7001479,504273,Equipment,434279.16,2025-05-30
7001480,502927,Commercial Property,14741.08,2023-01-05
7001481,501025,Equipment,79553.93,2025-06-27
7001482,501293,Real Estate,545969.07,2024-02-26
7001483,503773,Vehicle,8133.21,2023-12-10
7001484,501677,Equipment,243860.78,2023-04-28
7001485,501322,Equipment,33205.11,2023-01-22
7001486,503739,Real Estate,76028.0,2025-06-17
7001487,501211,Vehicle,537184.83,2026-05-18
7001488,501901,Equipment,307760.81,2026-01-01
7001489,503640,Real Estate,42901.64,2026-08-09
7001490,502638,Real Estate,184956.98,2025-02-08
7001491,501630,Vehicle,92394.89,2025-09-11
7001492,504440,Vehicle,22034.05,2024-07-23
7001493,501200,Equipment,5732.77,2026-01-30
7001494,502643,Equipment,317276.17,2023-09-04
7001495,500781,Vehicle,5652.11,2023-04-13
7001496,501579,Commercial Property,126779.42,2025-11-28
7001497,500916,Vehicle,61719.16,2023-03-04
7001498,503445,Equipment,126514.06,2023-05-10
7001499,504318,Vehicle,20972.92,2024-11-23
7001500,502444,Real Estate,135760.34,2025-05-20
7001501,503243,Vehicle,226266.86,2025-05-16
7001502,502892,Vehicle,136135.33,2025-03-02
7001503,500649,Vehicle,655957.47,2023-03-25
7001504,502670,Equipment,60079.49,2025-06-16
7001505,500395,Vehicle,412243.62,2025-09-25
7001506,504461,Real Estate,18812.32,2024-09-20
7001507,500361,Other,37121.26,2025-06-05
7001508,501757,Commercial Property,140585.93,2026-03-22
7001509,500780,Real Estate,545784.01,2023-01-08
7001510,500572,Vehicle,16543.86,2025-01-14
7001511,503465,Equipment,7363.03,2026-03-21
7001512,504776,Vehicle,36207.21,2023-08-01
7001513,503275,Vehicle,171212.5,2024-12-06
7001514,503189,Real Estate,57830.83,2024-06-06
7001515,501957,Vehicle,993.1,2026-08-21
7001516,502730,Real Estate,3964.75,2023-01-12
7001517,503215,Real Estate,378473.62,2026-01-03
7001518,500619,Vehicle,42382.77,2024-04-27
7001519,502385,Equipment,138228.77,2024-08-25
7001520,500293,Real Estate,31519.8,2024-02-06
7001521,501780,Other,4145.0,2024-02-11
7001522,502081,Real Estate,76004.97,2023-12-24
7001523,501434,Vehicle,343559.97,2025-01-05
7001524,501793,Vehicle,319868.33,2026-01-04
7001525,502332,Vehicle,130605.45,2024-08-14
7001526,503726,Equipment,345430.75,2026-01-11
7001527,503411,Real Estate,303204.52,2025-01-17
7001528,500058,Other,5595.13,2026-07-26
7001529,500094,Commercial Property,153221.81,2025-04-22
7001530,500466,Real Estate,48096.03,2023-10-22
7001531,504940,Real Estate,32515.56,2024-05-25
7001532,501353,Equipment,263411.12,2025-11-10
7001533,501537,Commercial Property,116159.4,2023-12-17
7001534,504519,Other,13678.52,2023-08-26
7001535,504702,Vehicle,97415.98,2025-08-05
7001536,501136,Real Estate,6890.0,2023-05-26
7001537,503333,Real Estate,65221.18,2023-07-06
7001538,501993,Real Estate,349661.78,2024-06-02
7001539,501948,Real Estate,34779.07,2023-04-25
7001540,504577,Vehicle,81061.16,2024-04-24
7001541,500124,Real Estate,157010.36,2025-06-29
7001542,502137,Equipment,60062.54,2023-12-27
7001543,501807,Vehicle,19023.11,2024-09-27
7001544,501549,Vehicle,34866.25,2023-10-08
7001545,503074,Vehicle,11004.63,2024-04-01
7001546,503228,Real Estate,51094.78,2024-06-27
7001547,502306,Commercial Property,42255.04,2026-08-07
7001548,503698,Commercial Property,72508.5,2024-04-04
7001549,501450,Real Estate,98964.04,2025-08-31
7001550,501512,Other,11458.57,2025-12-11
7001551,500646,Vehicle,21412.53,2026-01-03
7001552,501968,Real Estate,13822.25,2026-05-01
7001553,504001,Vehicle,50036.43,2026-01-29
7001554,502460,Real Estate,136830.91,2026-08-08
7001555,503965,Vehicle,126744.55,2026-04-25
7001556,501357,Real Estate,151384.85,2026-03-22
7001557,504954,Equipment,19820.65,2023-10-18
7001558,503145,Equipment,3187.79,2026-06-16
7001559,504309,Real Estate,92667.01,2024-08-18
7001560,502236,Other,29634.48,2023-11-23
7001561,504410,Equipment,200883.64,2026-08-18
7001562,504012,Real Estate,6660.32,2026-07-26
7001563,500073,Vehicle,92952.62,2024-11-17
7001564,503158,Other,26243.77,2024-05-26
7001565,504832,Real Estate,23739.82,2023-11-10
7001566,503982,Commercial Property,53519.94,2025-09-26
7001567,504292,Real Estate,107156.21,2023-12-27
7001568,502126,Equipment,282563.15,2024-01-14
